plant_id	position	cell_length
C.1	0.01	27.18
C.1	0.01	23.71
C.1	0.01	23.68
C.1	0.01	22.23
C.1	0.01	26.22
C.1	0.01	23.12
C.1	0.01	21.27
C.1	0.01	22.74
C.1	0.01	28.17
C.1	0.01	21.94
C.1	0.01	32.37
C.1	0.01	17.88
C.1	0.01	36.06
C.1	0.01	16.62
C.1	0.01	15
C.1	0.01	18.21
C.1	0.01	24.94
C.1	0.01	26.51
C.1	0.01	25.17
C.1	0.01	23.51
C.1	0.01	25.83
C.1	0.01	23.39
C.1	0.01	15.91
C.1	0.01	22.95
C.1	0.01	27.95
C.1	0.01	22.07
C.1	0.01	26.33
C.1	0.3	15.75
C.1	0.3	17.65
C.1	0.3	18.7
C.1	0.3	14.64
C.1	0.3	20.65
C.1	0.3	17.7
C.1	0.3	19.5
C.1	0.3	21.67
C.1	0.3	20.34
C.1	0.3	14.3
C.1	0.3	21.98
C.1	0.3	19.93
C.1	0.3	18.47
C.1	0.3	14.3
C.1	0.3	12.46
C.1	0.3	16.93
C.1	0.3	17.28
C.1	0.3	15.14
C.1	0.3	17.16
C.1	0.3	24.85
C.1	0.3	17.16
C.1	0.3	14.78
C.1	0.3	13.65
C.1	0.3	23.89
C.1	0.3	20.38
C.1	0.3	14.68
C.1	0.3	16.15
C.1	0.3	17.71
C.1	0.3	27.87
C.1	0.3	25.58
C.1	0.3	32.3
C.1	0.3	18.24
C.1	0.6	13.25
C.1	0.6	15.81
C.1	0.6	11.86
C.1	0.6	21.62
C.1	0.6	19.35
C.1	0.6	19.07
C.1	0.6	24.57
C.1	0.6	18.28
C.1	0.6	17.22
C.1	0.6	11.22
C.1	0.6	14.18
C.1	0.6	10.93
C.1	0.6	16.97
C.1	0.6	14.51
C.1	0.6	16.38
C.1	0.6	17.9
C.1	0.6	9.08
C.1	0.6	13.49
C.1	0.6	9.07
C.1	0.6	17.21
C.1	0.6	15.59
C.1	0.6	18.62
C.1	0.6	10.7
C.1	0.99	19.3
C.1	0.99	22.09
C.1	0.99	18.61
C.1	0.99	18.14
C.1	0.99	16.99
C.1	0.99	21.86
C.1	0.99	18.37
C.1	0.99	14.42
C.1	0.99	20.93
C.1	0.99	10.01
C.1	0.99	11.63
C.1	0.99	9.54
C.1	0.99	10.23
C.1	0.99	14.18
C.1	0.99	15.81
C.1	0.99	12.09
C.1	0.99	17.22
C.1	0.99	13.49
C.1	0.99	10.95
C.1	0.99	11.39
C.1	0.99	10.93
C.1	0.99	11.16
C.1	0.99	11.16
C.1	0.99	18.14
C.1	0.99	18.37
C.1	0.99	13.95
C.1	0.99	18.83
C.1	0.99	14.18
C.1	1.01	12.56
C.1	1.01	12.32
C.1	1.01	10.72
C.1	1.01	14.65
C.1	1.01	20.46
C.1	1.01	13.72
C.1	1.01	14.88
C.1	1.01	16.51
C.1	1.01	10.93
C.1	1.01	11.16
