plant_id	2016/12/13 10:00	2016/12/14 08:36	2016/12/15 11:05	2016/12/16 10:00	2016/12/17 10:00	2016/12/18 10:00	2016/12/19 10:00	2016/12/20 10:00	2016/12/21 10:00	2016/12/22 10:00	2016/12/23 10:00	2016/12/24 10:00	2016/12/25 10:00	2016/12/26 10:00	2016/12/27 10:00	2016/12/28 10:00	2016/12/29 10:00	2016/12/30 10:00	2016/12/31 10:00	2017/01/01 10:00	2017/01/02 10:00	2017/01/03 10:00	2017/01/04 10:00	2017/01/05 10:00	2017/01/06 10:00
C.1	142	216	293																						
C.2		142	212	296																					
C.3		196	277	360	436	519	593	667	708	725	738	747	752	753	757	759	760	760	762	764					
C.4		194	268	352																					
C.5		184	255	334	405	481	550	610	638	654	667	672	677	677	680	676	679	680	678	677					
C.6				147	223	301	377	462	542	614	665	690	707	713	718	722	723	723	724	724					
C.7	153	227	303																						
C.8		184	258	343																					
C.9		158	233	321	401	478	556	635	691	719	735	742	753	753	760	762	761	765	766	770					
C.10		157		310																					
C.11		151			382		543	621	667	688	705	708	716	716	722	722	723	721	723	724					
M.1		140	194	254	314	375	436	503	556	591	616	621	630	630	633	633	631	633	632	632					
M.2		170	223	291																					
M.3	99	154	209																						
M.4				123	173	229	289	354	417	465	495	512	522		533	530	531	530	531	531					
M.5		139	199	264																					
M.6		105	156	214	276	341	400	468	528	573	608	627	636	637	648	651	651	652	653	655					
M.7		153	213	277																					
M.8		169	231	298	366	435	501	571	614	638	653	661	665	665	668	667	670	671	668	671					
M.9	116	181	247	316	381	453	522	588	624	640	656	661	662	663	667	665	667	665	667	666					
M.10	142	199	256																						
M.11	137	199	259																						
S.1				143	189	231	270	321	371	415	464	510	548	555	580	587	591	595	598	600	597	600	601		603
S.2																									
S.3				148	186	230																			
S.4				147	189	227																			
S.5				143	181	225																			
S.6				113	146	172	191	210	233	253	280	312		392		395	397	402	402	403	405	404	405	406	405
S.7			137	181	227																				
S.8											165	213	268	309	353	405	459	512	546	573	590	598	603	608	610
S.9		118	160	206																					
S.10		108	145	189	228	270	314	366	420	468	512	534	550	556	560	563	562	564	565	562	565	565	565	565	654
S.11			137	180	218																				
